ID,Event_Type,System,Severity,Reasoning
4906268e1c684b11929f07897e0ff69a,维修,发动机,L0,依据GB/T 18344-2016，DPF清洗与解码属于尾气治理的维护范畴，不涉及总成大修或核心部件更换。
3fa192c6b5d24e0196f02d5d1336a89d,维修,发动机,L0,依据GB/T 18344-2016，EGR清洗属于为满足排放标准的维护性清洗作业，属于二级维护范畴。
9fbb2a63fc5b40c48ac26a22dbfc5b23,维修,发动机,L1,依据GB/T 5624，更换打气泵皮带及风扇皮带属于易损件更换，属于汽车小修范畴。
904faf69ffd94e0180e14541cf7055f7,维修,发动机,L2,依据GB/T 5624-2005，更换散热器总成属于次要总成更换，未涉及发动机解体，属于总成小修范畴。
04a09f1b11a14f938942d14f9b604df5,维修,发动机,L2,依据GB/T 5624-2005，尾气排放轮边功率不合格通常涉及发动机燃油、点火或后处理系统的深度诊断与维修，属于影响车辆使用性能的故障修复，但未达到发动机总成大修级别。
7460bf62eb484a49989ef4abfd955a8e,保养,常规耗材,L0,依据GB/T 18344-2016，更换机油、机油滤芯、空气滤芯、雨刮器片及打黄油均属于一级/二级维护范畴。
66680e57be5e434d9f49f7b593bb90e3,维修,常规耗材,L1,依据GB/T 5624，安装车牌照和搭电瓶属于汽车小修范畴，不涉及核心结构或总成维修。
10f4f7ecb58a49d9b6639ad03df561a7,保养,常规耗材,L0,依据GB/T 18344-2016，使用清洗剂进行积碳清洗属于一级/二级维护范畴。
c5ee2ed0760e46e490a81d9ab55ec9d7,保养,常规耗材,L0,依据GB/T 18344-2016，更换机油和机滤属于一级/二级维护范畴的常规保养。
ad20d3a5513f4c958bb0c9a5db6ea1b9,维修,发动机,L0,依据GB/T 18344-2016，后处理再生属于发动机系统的常规维护和积碳清洗范畴。
9603daf6c5724d64ae5c0c2b2d23cb98,保养,发动机,L0,依据GB/T 18344-2016，清洗油路属于一级/二级维护中的清洗积碳范畴。
64752562629a4d2d9d607a4170a5e041,维修,底盘,L1,依据GB/T 5624，更换钢圈属于轮胎总成相关的小修范畴，其余为常规保养项目。
2b210bcf4ab04c5da721ca47ee8feb77,维修,发动机,L2,依据GB/T 5624-2005，DPF（柴油颗粒捕集器）总成更换属于发动机排放后处理系统的重要部件更换，虽非发动机本体解体，但属于导致车辆停驶的次要总成维修。
dd25960fcd114cd78b39d788c0c4e4d7,维修,车身,L1,依据GB/T 5624，对电瓶架子进行加固属于车身附件的修复，不涉及结构件，属于汽车小修范畴。
dd25f46d32eb40faa5d9446fd4a9a642,保养,常规耗材,L0,依据GB/T 18344-2016，更换机油属于一级/二级维护范畴的常规保养。
dd262137a7af4ac290c529cd92042786,维修,发动机,L2,依据GB/T 5624-2005，水箱属于次要总成，其维修属于总成小修范畴。
c832496848cc4e3cbe25d683879c8add,保养,常规耗材,L0,依据GB/T 18344-2016，更换机油、三滤、各类油液及油封属于一级/二级维护范畴。
c83256671885415c84babeda4c655f7b,保养,常规耗材,L0,依据GB/T 18344-2016，更换机油、三滤、齿轮油等属于一级/二级维护范畴。
c832a8e3d4014fc0953ae8fbfff892ce,保养,常规耗材,L0,依据GB/T 18344-2016，更换机油、三滤、各类油液及油封属于一级/二级维护范畴的常规保养。
cf2d8db2371d4e98b962d4c986a63b8b,维修,发动机,L1,依据GB/T 5624，尿素系统属于发动机后处理系统的常规维护部件，其更换属于小修范畴。
517335db089d4ad987e007b77ab5e648,保养,常规耗材,L0,依据GB/T 18344-2016，二级维护属于定期保养范畴，不涉及故障维修。
ac41377f831c46278648171bbddc0bd8,维修,发动机,L3,依据GB/T 30323-2013和GB/T 5624-2005，更换飞轮齿圈部件和发动机前悬置横架属于发动机总成关键部件的更换，涉及动力总成核心结构。
2fd624c1656d48298e6fc3f7559cee02,维修,电气,L2,依据GB/T 5624-2005，ECU（发动机控制单元）属于核心控制模块，其数据刷新或更换属于次要总成维修，可能导致车辆停驶但未伤及核心结构。
b52335fe1afe4f39b2c78c46513abca9,维修,电气,L2,依据GB/T 5624-2005，起动机属于次要总成，其更换属于总成小修范畴。
392770b7edea4e56a86972c468e67bda,保养,常规耗材,L0,依据GB/T 18344-2016，更换机油和机滤属于一级/二级维护的常规保养范畴。
173768e77b6e42448741586a381eb72a,维修,底盘,L2,依据GB/T 5624-2005，转向节主销更换属于底盘总成小修，未涉及核心安全系统失效或车架结构损伤。
c5a3afd1087847199f23094993d20bad,保养,常规耗材,L0,依据GB/T 18344-2016，更换机油、机滤、空滤属于一级/二级维护范畴的常规保养项目。
0002c83a799544bc9e936f5f618b29cd,保养,常规耗材,L0,依据GB/T 18344-2016，更换机油机滤属于一级/二级维护范畴的常规保养。
0004edf55e21430089631725b446e441,维修,发动机,L0,依据GB/T 18344-2016，清洗三元催化属于排放系统维护，属于一级/二级维护范畴。
9f43d701dc2b4129a3e18331e12de433,维修,电气,L1,依据GB/T 5624，灯泡、灯座更换属于易损件更换，属于汽车小修范畴。
8257f413d902454ea75f0845bdb52d6e,保养,常规耗材,L0,依据GB/T 18344-2016，无故障描述的记录属于一级/二级维护范畴。
9a9fd7948cee4b7790760375e76c58b4,保养,常规耗材,L0,依据GB/T 18344-2016，所有项目均属于一级/二级维护或例行检查范畴。
cfc6a5b6bdb04497b189b3a347336b1d,维修,发动机,L1,依据GB/T 5624-2005，校喷油嘴属于发动机燃油系统的调整作业，未涉及总成解体，属于小修范畴。
5abed63f6ab844798d516795b244956e,保养,常规耗材,L0,依据GB/T 18344-2016，更换机油、机油滤芯、空气滤芯属于一级/二级维护范畴。
815deeb503214307b65da976ded75083,保养,常规耗材,L0,依据GB/T 18344-2016，二级维护作业属于定期保养范畴
460c8d4a76c643cea8846514743c508a,保养,常规耗材,L0,依据GB/T 18344-2016，二级维护、底盘润滑（打黄油）及灯光线路检修均属于常规维护保养范畴。
78b1a7208a214c678c9969bff4bca653,维修,车身,L3,维修记录明确标注'事故'，且更换前围铁板、前挡玻璃等结构件，依据GB/T 30323-2013，涉及事故车判定标准。
c73ff56d6c6d4744af2018a826fd353e,维修,底盘,L1,依据GB/T 5624，离合器总泵更换属于汽车小修范畴，未涉及核心安全系统或总成大修。
1b86a159e5e749ef995025a47d19aee2,保养,常规耗材,L0,依据GB/T 18344-2016，车辆例行检查属于一级/二级维护范畴。
9e48771568634a26adb7e3583ff48f86,维修,变速箱,L3,依据GB/T 30323-2013和GB/T 5624-2005，对变速箱进行分解并更换多个同步器，属于总成大修。
1996a3a0f31c41c29225034ba07ba028,保养,常规耗材,L0,依据GB/T 18344-2016，更换机油机滤、轮胎对调、打黄油属于一级/二级维护范畴的常规保养项目。
746154a4e85e4586becbef8b0146b696,维修,车身,L1,依据GB/T 5624，车身控制器模块更换属于电气系统小修，不涉及核心安全或结构件。
c832efb479f442ee80bb1c11fc8adf82,维修,常规耗材,L1,依据GB/T 5624，更换雨刮片属于易损件更换，属于汽车小修范畴。
f2185ec7c9394bc6b0a8398ccf667969,保养,常规耗材,L0,依据GB/T 18344-2016，更换机油机滤、齿轮油及清洗尿素喷嘴属于一级/二级维护范畴。
f21896af0e9042faad0e93c76bbbec6e,维修,常规耗材,L1,依据GB/T 5624，更换轮胎属于易损件更换，符合汽车小修范畴。
f218a1ea15de4ad39b40dfc16596c07b,保养,常规耗材,L0,依据GB/T 18344-2016，'检修'属于一级/二级维护中的例行检查范畴。
cf2e3eb07f3849b4b44326bdcf694c39,保养,常规耗材,L0,依据GB/T 18344-2016，更换机油属于一级/二级维护的常规保养范畴。
81017247314c45e0b5435288196f7e62,维修,变速箱,L1,依据GB/T 5624，更换挂挡线属于不涉及总成解体的汽车小修范畴。
f915f5d7e2a94ab8969f71deea78b891,保养,常规耗材,L0,依据GB/T 18344-2016，无故障描述的记录属于一级/二级维护的例行检查范畴。
209283dbd2114d389c3fdad97d526830,维修,底盘,L1,依据GB/T 5624-2005，调整手刹车间隙属于汽车小修范畴，未涉及核心安全系统或总成大修。
2092ba013b5d4950a5d7c1c62a6a9199,保养,常规耗材,L0,依据GB/T 18344-2016，更换机油及走合保养属于一级/二级维护范畴。
ba3914ae21cb4a7b953008c2b900086e,保养,发动机,L0,依据GB/T 18344-2016，清洗喷油嘴属于一级/二级维护中的清洗积碳范畴。
ba398a6bea664f5b95316d0195535d6e,保养,常规耗材,L0,依据GB/T 18344-2016，更换机油属于一级/二级维护范畴的常规保养。
6f6b627338f8402eb54234a53beee7d9,维修,车身,L1,依据GB/T 5624，前保险杠蒙皮钣金喷漆及大灯雾灯更换属于外观覆盖件修复和易损件更换，属于汽车小修范畴。
e42064e8a77a4f37870f4ee7980e7881,维修,车身,L1,依据GB/T 5624，货箱钣金胶修复属于外观覆盖件修复，不涉及结构件，属于汽车小修范畴。
c905808476b54989adaa18fe5b70bc15,保养,常规耗材,L0,依据GB/T 18344-2016，'二级维护'属于标准维护保养范畴。
476e0a210cd6469eb7360950de0b0b91,保养,常规耗材,L0,依据GB/T 18344-2016，更换机油、四轮保养及全车打黄油属于一级维护保养范畴。
69856975e7814808b9f1230476e0cc65,保养,常规耗材,L0,依据GB/T 18344-2016，'二级维护'属于标准维护保养范畴。
2882ae197a964fbb8fd72840e43a840a,维修,发动机,L1,依据GB/T 5624，更换机油压力报警开关属于传感器类易损件更换，属于汽车小修范畴。
6a7c515bcaec44428dc0a5dff861af2a,保养,常规耗材,L0,依据GB/T 18344-2016，清洗积碳属于一级/二级维护范畴。
b23b305034a842b1bc7915ea213f91e3,保养,常规耗材,L0,依据GB/T 18344-2016，更换机油、机油滤芯、空气滤芯等属于一级/二级维护范畴。
9f37e2a3d6f743d8abe19184b6468f94,维修,底盘,L2,依据GB/T 5624-2005，离合器主缸总成更换属于底盘传动系统的总成小修或次要总成更换。
6f0a1d0753934354a0500af30cffbfdf,保养,常规耗材,L0,依据GB/T 18344-2016，更换机油机滤属于一级/二级维护范畴的常规保养。
7136ef4293864f9b9b4ad91847276bcf,保养,常规耗材,L0,依据GB/T 18344-2016，更换机油及三滤属于一级/二级维护范畴。
a79d7b79ee544f5a91936b11aac94f48,维修,车身,L3,依据GB/T 30323-2013，车架/大梁矫正属于事故车判定标准，为重大维修。
e7ea2db2c1594e8d8910c19bb91f1c91,维修,电气,L1,依据GB/T 5624，鼓风机调速模块属于舒适性配置部件，其更换属于汽车小修范畴。
22e1ef9afcef4aa1bd28a75f3b2f0cce,保养,常规耗材,L0,依据GB/T 18344-2016，更换机油、机滤、柴滤及打黄油属于一级/二级维护范畴。
169a8eda45794222815f8ba99bd232ec,ERROR,ERROR,ERROR,JSON 解析失败: Unterminated string starting at: line 57 column 19 (char 1133)
c7f6689f5ae14cf691402d5752c6f726,ERROR,ERROR,ERROR,处理失败: 'list' object has no attribute 'get'
04a17facf7194e788fe062b3b7157753,维修,底盘,L2,依据GB/T 5624-2005，转向助力泵属于底盘系统的次要总成，其更换属于总成小修范畴。
5174fc452bd84903a299779ed18c5a1c,保养,常规耗材,L0,依据GB/T 18344-2016，更换机油机滤属于一级/二级维护范畴。
437ec3c483e340ee9a6dea9c3d3dc2b4,保养,常规耗材,L0,依据GB/T 18344-2016，'二级维护'属于标准保养范畴，更换轴承油为常规油液维护。
19975042575c4dcaa62bf93bc1bdd501,维修,发动机,L1,依据GB/T 5624，更换进气压力传感器属于发动机系统的小修或易损件更换范畴，未涉及总成大修或核心安全系统。
a5456776ce164be9b63eb270c7d22cce,维修,发动机,L2,依据GB/T 5624-2005，涉及后处理系统（DPF）的拆装清洗和再生，属于发动机系统的一般维修，未达到发动机总成大修标准。
7b5dc360e8704ba5a143375c6bf2e440,保养,常规耗材,L0,依据GB/T 18344-2016，更换机油、三滤属于一级/二级维护范畴。
e1326592714c4d29ac1750382ed89bba,保养,常规耗材,L0,依据GB/T 18344-2016，更换机油及三滤属于一级/二级维护范畴。
301ad89e94e24759bbbc8898f18d47d5,保养,常规耗材,L0,依据GB/T 18344-2016，更换机油、机滤、变速箱油属于一级/二级维护范畴的常规保养。
76cd3f2c52ec428ca4a07deb42d39de0,维修,底盘,L3,依据GB/T 30323-2013，转向失效（没方向）属于核心安全系统故障，其关键部件（横拉杆总成）的更换构成重大维修。
6603e83565e54ad39cc05fec858835a7,保养,常规耗材,L0,依据GB/T 18344-2016，更换空滤、机滤及全车打黄油属于一级/二级维护范畴。
798be9c87c8744ef88cdcf862cb8fb44,保养,常规耗材,L0,依据GB/T 18344-2016，二级维护属于定期保养范畴，不涉及故障维修。
2782279084f24750965f63a1802f9cbb,维修,发动机,L2,依据GB/T 5624-2005，涡轮增压器属于发动机重要附件，其更换属于次要总成更换，未达到发动机总成大修标准。
20433a4585d64d9fb65821005e49ac04,维修,发动机,L0,依据GB/T 18344-2016，尾气治理与清洗三元催化属于排放系统维护，属于一级/二级维护范畴。
49947a8b8ddc472a90700373bcbb4a90,维修,电气,L2,依据GB/T 5624-2005，发动机线路故障检修属于次要总成或电气系统的维修，可能导致车辆停驶但未伤及核心结构，符合一般维修特征。
3853f686e1014a6a9625e16b99b5e745,维修,发动机,L2,依据GB/T 5624-2005，更换DPF总成属于后处理系统核心部件更换，虽非发动机本体大修，但属于重要总成更换，导致车辆停驶。
f0d6ccc9cb574dea93563a2950537d98,保养,常规耗材,L0,依据GB/T 18344-2016，更换机油、机滤、空滤及打黄油属于一级/二级维护范畴。
eaf3ff5aa57445d4946ceb7dcb357dea,维修,电气,L1,依据GB/T 5624，尿素液位传感器属于排放控制系统的传感器件，其更换属于不影响核心安全与行驶性能的电气部件维修，符合'汽车小修'范畴。
a6cf8108087e4159be389e5e3aa92431,保养,常规耗材,L0,依据GB/T 18344-2016，'二级维护'属于标准保养范畴，更换轴承油为常规油液维护。
84288c3442f1467fabf0bfa4a6b1b26c,保养,常规耗材,L0,依据GB/T 18344-2016，更换机油、机油滤芯、空气格、冷媒及灯光检查属于一级/二级维护范畴。
057200c2071c4ad3b68d64ba73c50754,保养,常规耗材,L0,依据GB/T 18344-2016，二维检测与作业属于车辆二级维护中的例行检查项目。
b6acf7b2e322441487617d6b3bf897a8,维修,发动机,L2,依据GB/T 5624-2005，更换氮氧传感器属于发动机后处理系统维修，涉及排放控制总成，属于一般维修范畴。
44caac9cbdb4426b8dc102b93606bc9c,维修,底盘,L2,依据GB/T 5624-2005，更换半轴油封属于底盘总成的小修作业，涉及次要总成（半轴）的密封件更换。
e0190de9a11e46b787f7175589fb45e6,维修,常规耗材,L1,依据GB/T 5624，更换灯泡、雨刮片、空气滤芯等属于易损件更换，属于汽车小修范畴。
f82297d2b85b4d8291179d8fb4dd84b3,保养,常规耗材,L0,依据GB/T 18344-2016，'拔轮保养'属于一级/二级维护范畴的常规保养项目。
d2987c0aab7541eaa7a61041ac502e10,维修,发动机,L3,依据GB/T 30323-2013和GB/T 5624-2005，'修复发动机'项目通常意味着发动机解体维修，属于总成大修范畴。
9f149fba4e97444487f32c403275a017,保养,常规耗材,L0,依据GB/T 18344-2016，打黄油和吹空气滤芯属于一级/二级维护的例行保养范畴。
3d982668fdc54a17ab46889a046ce398,保养,常规耗材,L0,依据GB/T 18344-2016，添加尿素属于车辆常规消耗品补充，属于一级/二级维护范畴。
04a21b204edb48b3a03287e5d184f0ef,保养,常规耗材,L0,依据GB/T 18344-2016，首保及全车检查属于一级维护范畴。
1997bd0ad2df43a5b978a4594ab951d2,保养,常规耗材,L0,依据GB/T 18344-2016，更换尿素属于车辆正常消耗品添加，属于一级/二级维护范畴。
ba39f5dbd3484fca83519cfd3dde2826,保养,常规耗材,L0,依据GB/T 18344-2016，更换机油、齿轮油、机油滤芯属于一级/二级维护范畴。
35865b2f35d043799fefcda0aee48281,维修,车身,L1,依据GB/T 5624，消声器堵塞和副水箱漏水属于汽车小修范畴，不涉及核心结构或总成。
2790336849944b948c9452e8c85ae461,维修,底盘,L2,依据GB/T 5624-2005，差速器属于底盘传动系统的重要部件，其解体维修涉及轴承、齿轮垫片等核心零件更换，属于总成小修范畴。
6d662f0ca53943bb87002e9290d2c3a5,保养,常规耗材,L0,依据GB/T 18344-2016，二级维护及更换机油、三滤等属于标准保养范畴。
29163aac2e36454b8e443b63d7e6fe7a,保养,常规耗材,L0,依据GB/T 18344-2016，更换机油、机滤、空滤属于一级/二级维护范畴。
07670f68d57542e3aaeb00492bf1795b,维修,底盘,L2,依据GB/T 5624-2005，更换传动轴过桥总成属于次要总成更换，符合总成小修范畴。
00578ea3f21f41e3a35dabbd11af2c32,保养,常规耗材,L0,依据GB/T 18344-2016，更换发动机机油属于一级/二级维护范畴的常规保养。
6d26426aedf54892af4dcf3b330803e9,保养,常规耗材,L0,依据GB/T 18344-2016，更换机油、三滤等属于一级/二级维护范畴。
dd279b8c84e044f4852176239c1016ee,维修,底盘,L2,依据GB/T 5624-2005，离合器总成（压盘、分离轴承、离合器片）属于传动系统部件，其更换属于总成小修范畴，未涉及发动机或变速箱解体。
dd27b86c599d4999a76d8626cb8e708b,维修,底盘,L2,依据GB/T 5624-2005，离合器总成属于传动系统部件，其更换属于总成小修范畴，未涉及发动机或变速箱解体。
a37f8dc6a93844cbaa9fed7671fb8eb7,维修,发动机,L1,依据GB/T 5624，更换冷机皮带属于易损件更换，属于汽车小修范畴。
fe43393e7c024f2bb59af753092b14e5,保养,常规耗材,L0,依据GB/T 18344-2016，全车打黄油和轮胎换位属于一级/二级维护的例行保养项目。
ceb3d891d39245dfa5ea0ad686c25ff7,保养,常规耗材,L0,依据GB/T 18344-2016，倒胎和全车打黄油属于一级/二级维护的例行保养项目。
04a35680baaa4f49ac2e3e19335178e2,维修,电气,L1,依据GB/T 5624，更换灯泡和雨刮臂属于易损件更换，属于汽车小修范畴。
1a9a39742247472ca3a0fac4c2b34372,保养,常规耗材,L0,依据GB/T 18344-2016，更换机油机滤属于一级/二级维护范畴。
6e2efcf08dac4ef9bea73d5b030d9f14,保养,常规耗材,L0,依据GB/T 18344-2016，更换机油、机滤、柴滤属于一级/二级维护范畴的常规保养项目。
b3443511684b4c99b674151d2bbb7b91,维修,电气,L1,依据GB/T 5624，更换警示灯、继电器、电子扇等属于汽车小修范畴，未涉及核心安全系统或总成大修。
bfd2cbb10a6241dcabf8a9a095502165,维修,电气,L2,依据GB/T 5624-2005，起动机线路检修属于次要总成（起动机系统）的维修，符合总成小修范畴。
c05926f9e7354fa68a9f7bd72571de04,维修,底盘,L2,依据GB/T 5624-2005，更换传动轴十字轴属于底盘总成的小修或部件更换，未涉及核心结构或总成大修。
bd9edd0dee284a9b83281801906b40c0,保养,常规耗材,L0,依据GB/T 18344-2016，二级维护属于定期保养范畴，不涉及故障维修。
91c48d3d1aff46f3af312de6bd30e56e,维修,发动机,L1,依据GB/T 5624-2005，检查油路属于针对发动机系统的故障排查，未涉及总成大修或核心部件更换，属于小修或诊断范畴。
b688efa4d99543fcbc0516a2b6f9d877,保养,常规耗材,L0,依据GB/T 18344-2016，'二级维护'属于标准保养范畴，不涉及故障维修。
e4e081a3b02f41b5b5a0289d8e23570e,保养,常规耗材,L0,依据GB/T 18344-2016，更换机油、三滤及二级维护属于常规保养范畴。
3031b82e912f4977942ea47123322e97,维修,底盘,L2,依据GB/T 5624-2005，更换半轴属于次要总成更换，属于总成小修范畴。
fd73d1ae32b94601aba756a793cbe8eb,维修,发动机,L2,依据GB/T 5624-2005，拆装水箱及更换水泵皮带属于发动机总成的小修范畴，未涉及发动机解体或总成更换。
2bd319d3f617480aa09270a802fcd045,保养,常规耗材,L0,依据GB/T 18344-2016，'二级维护'属于标准规定的定期保养范畴。
9cf371986a2941e8a1d81d9fa6f9cb64,维修,发动机,L1,依据GB/T 5624-2005，更换节温器属于发动机冷却系统的小修作业，未涉及发动机解体或总成更换。
f7764e40215441d4998931bc37d7c60e,维修,电气,L1,依据GB/T 5624，更换尿素罐传感器属于电气系统的小修范畴，未涉及核心安全或总成大修。
351636db915f4a0d9c94569ea4ff31b3,保养,常规耗材,L0,依据GB/T 18344-2016，清洗燃油系统属于一级/二级维护范畴的清洗积碳项目。
f23eab5a9e884942a6a8dc7603dd25e4,保养,常规耗材,L0,依据GB/T 18344-2016，更换机油、机滤、黄油及四轮保养属于一级/二级维护范畴。
03031704fbbe4e058dfc6931753b2fb1,保养,常规耗材,L0,依据GB/T 18344-2016，更换机油、机滤、空滤等属于二级维护范畴。
61ba0d14b12e4dbe83b5d154483d378e,保养,常规耗材,L0,依据GB/T 18344-2016，更换机油、机滤及黄油加注属于一级/二级维护范畴。
2e783a46f77d4bc794e8e2d9582d9443,保养,常规耗材,L0,依据GB/T 18344-2016，更换机油、机滤、黄油及油封属于一级/二级维护保养范畴。
b4f3e665d07045fab4808fafb4814643,保养,常规耗材,L0,依据GB/T 18344-2016，二级维护属于定期保养范畴，不涉及故障维修。
6d87e7eee34d4712bef7082e3adfbcd6,保养,常规耗材,L0,依据GB/T 18344-2016，二级维护及更换机油、滤清器、齿轮油等属于常规保养范畴。
325bcf090a054d8e85442e85e12806e8,保养,常规耗材,L0,依据GB/T 18344-2016，更换机油、滤清器、齿轮油及四轮保养属于一级/二级维护范畴。
9072ae7b83b64d53bb502ae52f416557,保养,常规耗材,L0,依据GB/T 18344-2016，更换机油、机滤、空滤等属于二级维护范畴。
1751aa99eb72476ea774d92282cd7cf4,维修,底盘,L2,依据GB/T 5624-2005，差速器总成更换属于次要总成更换，未伤及发动机/变速箱/车架核心结构。
a160f58944b443b1ac5c81be898d6aba,保养,常规耗材,L0,依据GB/T 18344-2016，更换机油、机油滤芯、空滤及黄油加注属于二级维护范畴。
3443e85167c842c889ba0e059bbdaea1,维修,常规耗材,L0,依据GB/T 18344-2016，更换尿素属于车辆运行所需的常规消耗品添加与维护，属于一级/二级维护范畴。
1606eede32e4489893a3faf90cb1c2b9,维修,发动机,L2,依据GB/T 30323-2013，尾气排放超标通常涉及发动机燃烧系统或后处理系统（如三元催化器）的维修或更换，属于影响车辆使用性能的故障，但未达到发动机解体大修的标准。
561d2c63060b428eafca3fb65fe9dcd3,维修,发动机,L3,依据GB/T 5624-2005，发动机总成更换属于总成大修。
d5dce7d26c8b4f779fe8b3d29d0c8cf1,保养,常规耗材,L0,依据GB/T 18344-2016，无故障描述的记录属于一级/二级维护范畴。
dd283ccc3e8541c2a45f2d07501262db,保养,常规耗材,L0,依据GB/T 18344-2016，'二级维护'属于标准保养范畴，更换的密封胶、黄油为常规耗材，GPS维修属于电气小修。
8d80c8e53f94478c8cede4fb8c74cc0c,维修,底盘,L2,依据GB/T 5624-2005，离合器总成（压盘、片、分离轴承）属于传动系统重要部件更换，属于总成小修范畴，未达到发动机或变速箱解体的大修标准。
408319516d5f422397264c74a8afa0f1,保养,常规耗材,L0,依据GB/T 18344-2016，更换机油、机油滤清器属于一级/二级维护范畴。
fabceaeb21ee4b3ba834886b781c7cb7,保养,常规耗材,L0,依据GB/T 18344-2016，更换机油和空气滤芯属于一级/二级维护范畴。
6a873957623c4f4ea0cd651c49302396,维修,车身,L1,依据GB/T 5624，仅涉及外观覆盖件（后门、后保险杠）的喷漆和钣金修复，属于汽车小修范畴。
4712f9992597419f9a415c2c051acd9f,维修,发动机,L0,依据GB/T 18344-2016，清洗尾气处理器属于排放系统维护，属于一级/二级维护范畴。
e32acfa8dde54111861179f575d63d04,维修,发动机,L0,依据GB/T 18344-2016，专用电脑排放检测属于常规检查与维护范畴，不涉及部件更换或修理。
2d3fe0eeecdb4f4ca1b43444000fb335,维修,常规耗材,L1,依据GB/T 5624，雨刮片更换属于易损件更换，属于汽车小修范畴。
3a7f0e8933bf468cb3531cdba829ea94,维修,电气,L2,依据GB/T 5624-2005，发电机属于次要总成，其更换属于总成小修范畴。
425ee9a55a454071a762a02882f3ab10,保养,常规耗材,L0,依据GB/T 18344-2016，更换机油及机油格、空气格属于一级/二级维护范畴的常规保养项目。
689e9d01740e42d7a680b00d246cbb67,维修,常规耗材,L1,依据GB/T 5624，更换轮胎属于易损件更换，符合汽车小修范畴。
4070a6cfcb33441ebf7cfab1c567103c,维修,底盘,L1,依据GB/T 5624-2005，后处理系统线路检修属于不影响核心总成和车辆安全行驶的电气/排放系统小修。
f6c5616d02a646da9e2d059f9b89e045,保养,常规耗材,L0,依据GB/T 18344-2016，无故障描述的记录属于一级/二级维护的例行检查范畴。
6b13433c26aa4484b58633e558380ea4,保养,常规耗材,L0,依据GB/T 18344-2016，更换机油属于一级/二级维护的常规保养范畴。
666a33b7a0a24519972eacbb9ec88959,维修,变速箱,L3,依据GB/T 30323-2013和GB/T 5624-2005，对变速箱进行拆解维修属于总成大修范畴。
04a36f386a40401e8692148947630e5b,保养,常规耗材,L0,依据GB/T 18344-2016，更换机油和三滤属于一级/二级维护范畴。
79ce197a41dd44a9ba650b6253a68f64,维修,发动机,L2,依据GB/T 5624-2005，喷油泵属于发动机燃油供给系统的关键部件，其维修属于总成小修范畴，未达到发动机解体大修级别。
2a83e039438e4134a1e16f333acd39bd,维修,底盘,L1,依据GB/T 5624，更换角牙油封属于底盘总成的小修范围，不涉及核心结构。
